standard.orth	phonetic.orth	standard.phones	zipf	fpmw
pouches	pooches	P AW1 CH AH0 Z	2.84	0.690389578395475
shroud	shrood	SH R AW1 D	2.84	0.685422746896227
sowed	sooed	S AW1 D	2.84	0.685422746896227
abouts	aboots	AH0 B AW1 T S	2.83	0.670522252398483
bowden	booden	B AW1 D AH0 N	2.83	0.670522252398483
counteract	coonteract	K AW1 N T ER0 AE2 K T	2.83	0.675489083897731
disallowed	disallooed	D IH2 S AH0 L AW1 D	2.83	0.665555420899235
downgrading	doongrading	D AW1 N G R EY0 D IH0 NG	2.83	0.675489083897731
downpour	doonpour	D AW1 N P AO0 R	2.83	0.665555420899235
mcgowan	mcgooan	M AH0 G AW1 AH0 N	2.83	0.670522252398483
renounce	renoonce	R IH2 N AW1 N S	2.83	0.670522252398483
browser	brooser	B R AW1 Z ER0	2.82	0.660588589399987
cowardice	cooardice	K AW1 ER0 D AH0 S	2.82	0.650654926401491
crouching	crooching	K R AW1 CH IH0 NG	2.82	0.650654926401491
devour	devoor	D IH0 V AW1 ER0	2.82	0.660588589399987
jousting	joosting	JH AW1 S T IH0 NG	2.82	0.655621757900739
noun	noon	N AW1 N	2.82	0.660588589399987
townshend	toonshend	T AW1 N SH EH2 N D	2.82	0.650654926401491
clouding	clooding	K L AW1 D IH0 NG	2.81	0.635754431903747
downed	dooned	D AW1 N D	2.81	0.635754431903747
empowerment	empooerment	IH2 M P AW1 ER0 M AH0 N T	2.81	0.635754431903747
jour	joor	JH AW1 R	2.81	0.640721263402995
mountainside	moontainside	M AW1 N T AH0 N S AY2 D	2.81	0.640721263402995
mousetrap	moosetrap	M AW1 S T R AE2 P	2.81	0.640721263402995
southall	soothall	S AW1 TH AH0 L	2.81	0.640721263402995
counsellors	coonsellors	K AW1 N S AH0 L ER0 Z	2.8	0.630787600404499
groundwork	groondwork	G R AW1 N D W ER2 K	2.8	0.630787600404499
outhouse	oothouse	AW1 T HH AW2 S	2.8	0.625820768905251
outings	ootings	AW1 T IH0 NG Z	2.8	0.630787600404499
overpowered	overpooered	OW2 V ER0 P AW1 ER0 D	2.8	0.625820768905251
droughts	drooghts	D R AW1 T S	2.79	0.615887105906755
fouling	fooling	F AW1 L IH0 NG	2.79	0.610920274407507
southbound	soothbound	S AW1 TH B AW2 N D	2.79	0.615887105906755
clowning	clooning	K L AW1 N IH0 NG	2.78	0.600986611409011
hounded	hoonded	HH AW1 N D AH0 D	2.78	0.596019779909763
prowling	prooling	P R AW1 L IH0 NG	2.78	0.600986611409011
howarth	hooarth	HH AW1 AA0 R TH	2.77	0.586086116911267
howls	hools	HH AW1 L Z	2.77	0.586086116911267
louth	looth	L AW1 TH	2.77	0.591052948410515
outwit	ootwit	AW1 T W IH2 T	2.77	0.586086116911267
southwell	soothwell	S AW1 TH W EH2 L	2.77	0.591052948410515
cowley	cooley	K AW1 L IY0	2.76	0.566218790914275
encountering	encoontering	EH0 N K AW1 N ER0 IH0 NG	2.76	0.566218790914275
floundering	floondering	F L AW1 N D ER0 IH0 NG	2.76	0.57615245391277
gout	goot	G AW1 T	2.76	0.571185622413523
dowling	dooling	D AW1 L IH0 NG	2.75	0.561251959415026
drowsy	droosy	D R AW1 Z IY0	2.75	0.556285127915778
endowed	endooed	EH0 N D AW1 D	2.75	0.561251959415026
prouder	prooder	P R AW1 D ER0	2.75	0.556285127915778
groundwater	groondwater	G R AW1 N D W AA2 T ER0	2.74	0.546351464917282
hourglass	hoorglass	AW1 ER0 G L AE2 S	2.74	0.546351464917282
insurmountable	insurmoontable	IH2 N S ER0 M AW1 N T AH0 B AH0 L	2.74	0.541384633418034
outlaws	ootlaws	AW1 T L AO2 Z	2.74	0.541384633418034
slouch	slooch	S L AW1 CH	2.74	0.55131829641653
abound	aboond	AH0 B AW1 N D	2.73	0.531450970419538
announcer	annooncer	AH0 N AW1 N S ER0	2.73	0.536417801918786
bower	booer	B AW1 ER0	2.73	0.531450970419538
confounded	confoonded	K AH0 N F AW1 N D AH0 D	2.73	0.536417801918786
groundhog	groondhog	G R AW1 N D HH AA2 G	2.73	0.531450970419538
outlying	ootlying	AW1 T L AY2 IH0 NG	2.73	0.531450970419538
flounder	floonder	F L AW1 N D ER0	2.72	0.516550475921794
amounting	amoonting	AH0 M AW1 N IH0 NG	2.71	0.506616812923298
bounding	boonding	B AW1 N D IH0 NG	2.71	0.511583644422546
dowry	doory	D AW1 R IY0	2.71	0.511583644422546
lounging	loonging	L AW1 N JH AH0 N	2.71	0.511583644422546
unaccounted	unaccoonted	AH2 N AH0 K AW1 N T AH0 D	2.71	0.511583644422546
bountiful	boontiful	B AW1 N AH0 F AH0 L	2.7	0.50164998142405
downes	doones	D AW1 N Z	2.7	0.491716318425554
downsides	doonsides	D AW1 N S AY2 D Z	2.7	0.491716318425554
outbursts	ootbursts	AW1 T B ER2 S	2.7	0.496683149924802
spouses	spooses	S P AW1 S AH0 Z	2.7	0.496683149924802
townships	toonships	T AW1 N SH IH2 P S	2.7	0.496683149924802
undoubted	undoobted	AH0 N D AW1 T AH0 D	2.7	0.491716318425554
bounded	boonded	B AW1 N D AH0 D	2.69	0.481782655427058
devoured	devoored	D IH0 V AW1 ER0 D	2.69	0.486749486926306
drowns	droons	D R AW1 N Z	2.69	0.481782655427058
mountaineer	moontaineer	M AW1 N T AH0 N IH2 R	2.69	0.486749486926306
mouthpiece	moothpiece	M AW1 TH P IY2 S	2.69	0.481782655427058
spouting	spooting	S P AW1 T IH0 NG	2.69	0.486749486926306
stoute	stoote	S T AW1 T	2.69	0.481782655427058
cowgirl	coogirl	K AW1 G ER2 L	2.68	0.47681582392781
outcast	ootcast	AW1 T K AE2 S T	2.68	0.471848992428562
showering	shooering	SH AW1 ER0 IH0 NG	2.68	0.471848992428562
soundly	soondly	S AW1 N D L IY0	2.68	0.47681582392781
bowers	booers	B AW1 ER0 Z	2.67	0.461915329430066
brows	broos	B R AW1 Z	2.67	0.461915329430066
howlett	hoolett	HH AW1 L IH2 T	2.67	0.466882160929314
louse	loose	L AW1 S	2.67	0.461915329430066
powders	pooders	P AW1 D ER0 Z	2.67	0.466882160929314
roundup	roondup	R AW1 N D AH2 P	2.67	0.461915329430066
soured	soored	S AW1 ER0 D	2.67	0.461915329430066
boundless	boondless	B AW1 N D L AH0 S	2.66	0.45198166643157
chowder	chooder	CH AW1 D ER0	2.66	0.456948497930818
crouched	crooched	K R AW1 CH T	2.66	0.456948497930818
mouthy	moothy	M AW1 TH IY0	2.66	0.456948497930818
oust	oost	AW1 S T	2.66	0.456948497930818
scouser	scooser	S K AW1 S ER0	2.66	0.456948497930818
coutts	cootts	K AW1 T S	2.65	0.442048003433074
cowan	cooan	K AW1 AH0 N	2.65	0.437081171933826
cowen	cooen	K AW1 AH0 N	2.65	0.442048003433074
dour	door	D AW1 ER0	2.65	0.447014834932322
downsized	doonsized	D AW1 N S AY2 Z D	2.65	0.442048003433074
flowerpot	flooerpot	F L AW1 ER0 P AA2 T	2.65	0.437081171933826
outen	ooten	AW1 T AH0 N	2.65	0.442048003433074
roundheads	roondheads	R AW1 N D HH EH2 D Z	2.65	0.447014834932322
roundhouse	roondhouse	R AW1 N D HH AW2 S	2.65	0.442048003433074
cowering	cooering	K AW1 ER0 IH0 NG	2.64	0.42714750893533
devouring	devooring	D IH0 V AW1 ER0 IH0 NG	2.64	0.42714750893533
howson	hooson	HH AW1 S AH0 N	2.64	0.432114340434578
howells	hooells	HH AW1 AH0 L Z	2.63	0.417213845936834
bough	boogh	B AW1	2.62	0.412247014437586
mouthwash	moothwash	M AW1 TH W AA2 SH	2.62	0.412247014437586
nouns	noons	N AW1 N Z	2.62	0.412247014437586
outbid	ootbid	AW1 T B IH2 D	2.62	0.412247014437586
arouse	aroose	ER0 AW1 Z	2.61	0.407280182938338
foundling	foondling	F AW1 N D L IH0 NG	2.61	0.407280182938338
gow	goo	G AW1	2.61	0.407280182938338
grout	groot	G R AW1 T	2.61	0.40231335143909
pounder	poonder	P AW1 N D ER0	2.61	0.40231335143909
denounce	denoonce	D AH0 N AW1 N S	2.6	0.392379688440594
dowdy	doody	D AW1 D IY0	2.6	0.392379688440594
downtime	doontime	D AW1 N T AY2 M	2.6	0.397346519939842
endowment	endooment	EH0 N D AW1 M AH0 N T	2.6	0.397346519939842
fouls	fools	F AW1 L Z	2.6	0.392379688440594
howley	hooley	HH AW1 L IY0	2.6	0.397346519939842
confound	confoond	K AA0 N F AW1 N D	2.59	0.387412856941346
counterfeiting	coonterfeiting	K AW1 N ER0 F IH2 T IH0 NG	2.59	0.387412856941346
touting	tooting	T AW1 T IH0 NG	2.59	0.387412856941346
townspeople	toonspeople	T AW1 N Z P IY2 P AH0 L	2.59	0.382446025442098
wowing	wooing	W AW1 IH0 NG	2.59	0.382446025442098
counterfeiters	coonterfeiters	K AW1 N ER0 F IH2 T ER0 Z	2.58	0.37747919394285
foulkes	foolkes	F AW1 L K S	2.58	0.372512362443602
frowning	frooning	F R AW1 N IH0 NG	2.58	0.37747919394285
groucho	groocho	G R AW1 CH OW0	2.58	0.372512362443602
jowl	jool	JH AW1 L	2.58	0.37747919394285
outfield	ootfield	AW1 T F IY2 L D	2.58	0.372512362443602
powdery	poodery	P AW1 D ER0 IY0	2.58	0.37747919394285
roundhead	roondhead	R AW1 N D HH EH2 D	2.58	0.372512362443602
southgate	soothgate	S AW1 TH G EY2 T	2.58	0.37747919394285
outweighs	ootweighs	AW1 T W EY2 Z	2.57	0.367545530944354
mousehole	moosehole	M AW1 S HH OW2 L	2.56	0.357611867945858
scousers	scoosers	S K AW1 S AH0 Z	2.56	0.357611867945858
downy	doony	D AW1 N IY0	2.55	0.35264503644661
hounding	hoonding	HH AW1 N D IH0 NG	2.55	0.35264503644661
outcasts	ootcasts	AW1 T K AE2 S	2.55	0.347678204947362
pronouncing	pronooncing	P R AH0 N AW1 N S IH0 NG	2.55	0.347678204947362
renounced	renoonced	R IH2 N AW1 N S T	2.55	0.347678204947362
unaccountable	unaccoontable	AH2 N AH0 K AW1 N T AH0 B AH0 L	2.55	0.347678204947362
howled	hooled	HH AW1 L D	2.54	0.342711373448113
counterbalance	coonterbalance	K AW1 N ER0 B AE2 L AH0 N S	2.53	0.337744541948865
douse	doose	D AW1 S	2.53	0.337744541948865
flouting	flooting	F L AW1 T IH0 NG	2.53	0.332777710449617
pouncing	pooncing	P AW1 N S IH0 NG	2.53	0.337744541948865
roundly	roondly	R AW1 N D L IY0	2.53	0.332777710449617
townsfolk	toonsfolk	T AW1 N Z F OW2 K	2.53	0.332777710449617
wows	woos	W AW1 Z	2.53	0.337744541948865
bouche	booche	B AW1 CH	2.52	0.327810878950369
cowie	cooie	K AW1 IY0	2.52	0.322844047451121
impounded	impoonded	IH2 M P AW1 N D AH0 D	2.52	0.327810878950369
outwardly	ootwardly	AW1 T W ER0 D L IY0	2.52	0.327810878950369
prow	proo	P R AW1	2.52	0.327810878950369
denouncing	denooncing	D AH0 N AW1 N S IH0 NG	2.5	0.307943552953377
flout	floot	F L AW1 T	2.5	0.307943552953377
gowing	gooing	G AW1 IH0 NG	2.5	0.312910384452625
outhouses	oothouses	AW1 T HH AW2 S AH0 Z	2.5	0.307943552953377
scrounging	scroonging	S K R AW1 N JH IH0 NG	2.5	0.307943552953377
boughs	booghs	B AW1 Z	2.49	0.302976721454129
groundswell	groondswell	G R AW1 N D S W EH2 L	2.49	0.302976721454129
thousandth	thoosandth	TH AW1 Z AH0 N D TH	2.49	0.302976721454129
growled	grooled	G R AW1 L D	2.48	0.298009889954881
loudspeaker	loodspeaker	L AW1 D S P IY2 K ER0	2.48	0.298009889954881
lounges	loonges	L AW1 N JH AH0 Z	2.48	0.298009889954881
soundtracks	soondtracks	S AW1 N D T R AE2 K S	2.48	0.298009889954881
outboard	ootboard	AW1 T B AO2 R D	2.47	0.293043058455633
outposts	ootposts	AW1 T P OW2 S	2.47	0.288076226956385
recounts	recoonts	R IH0 K AW1 N T S	2.47	0.288076226956385
sprouted	sprooted	S P R AW1 T AH0 D	2.47	0.288076226956385
trounced	troonced	T R AW1 N S T	2.47	0.293043058455633
touted	tooted	T AW1 T AH0 D	2.46	0.283109395457137
browner	brooner	B R AW1 N ER0	2.45	0.278142563957889
councilors	cooncilors	K AW1 N S AH0 L ER0 Z	2.45	0.278142563957889
counterpoint	coonterpoint	K AW1 N ER0 P OY2 N T	2.45	0.278142563957889
dowd	dood	D AW1 D	2.45	0.278142563957889
macgowan	macgooan	M AH0 G AW1 AH0 N	2.45	0.278142563957889
pouting	pooting	P AW1 T IH0 NG	2.45	0.278142563957889
unsound	unsoond	AH0 N S AW1 N D	2.45	0.278142563957889
brownlow	broonlow	B R AW1 N L OW2	2.44	0.273175732458641
cowed	cooed	K AW1 D	2.44	0.273175732458641
dowager	dooager	D AW1 AH0 JH ER0	2.44	0.273175732458641
floured	floored	F L AW1 AH0 D	2.44	0.273175732458641
houseboat	hooseboat	HH AW1 S B OW2 T	2.44	0.268208900959393
joust	joost	JH AW1 S T	2.44	0.273175732458641
outshine	ootshine	AW1 CH AY2 N	2.44	0.268208900959393
outsmart	ootsmart	AW1 T S M AA2 R T	2.44	0.273175732458641
pronouncements	pronooncements	P R AH0 N AW1 N S M AH0 N T S	2.43	0.263242069460145
towered	tooered	T AW1 ER0 D	2.43	0.263242069460145
cower	cooer	K AW1 ER0	2.42	0.258275237960897
recounted	recoonted	R IH0 K AW1 N AH0 D	2.42	0.258275237960897
renown	renoon	R AH0 N AW1 N	2.42	0.258275237960897
soundbites	soondbites	S AW1 N D B AY2 T S	2.41	0.253308406461649
gouge	googe	G AW1 JH	2.4	0.248341574962401
outed	ooted	AW1 T AH0 D	2.4	0.248341574962401
arousing	aroosing	ER0 AW1 Z IH0 NG	2.39	0.243374743463153
astound	astoond	AH0 S T AW1 N D	2.39	0.238407911963905
brownish	broonish	B R AW1 N IH2 SH	2.39	0.243374743463153
doused	doosed	D AW1 S T	2.39	0.238407911963905
gouged	googed	G AW1 JH D	2.39	0.243374743463153
grouting	grooting	G R AW1 T IH0 NG	2.39	0.238407911963905
lout	loot	L AW1 T	2.39	0.238407911963905
outgunned	ootgunned	AW1 T G AH2 N D	2.39	0.238407911963905
soundbite	soondbite	S AW1 N D B AY2 T	2.39	0.238407911963905
townhouses	toonhouses	T AW1 N HH AW2 S AH0 Z	2.39	0.243374743463153
countering	coontering	K AW1 N ER0 IH0 NG	2.38	0.233441080464657
doubtfire	doobtfire	D AW1 T F AY2 ER0	2.38	0.233441080464657
foundries	foondries	F AW1 N D R IY0 Z	2.38	0.233441080464657
howden	hooden	HH AW1 D AH0 N	2.38	0.233441080464657
countered	coontered	K AW1 N ER0 D	2.37	0.228474248965409
counterproductive	coonterproductive	K AW1 N ER0 P R AH0 D AH2 K T IH0 V	2.37	0.228474248965409
empowers	empooers	IH2 M P AW1 ER0 Z	2.37	0.228474248965409
frowns	froons	F R AW1 N Z	2.37	0.228474248965409
blouses	blooses	B L AW1 S AH0 Z	2.36	0.223507417466161
counterattack	coonterattack	K AW1 N ER0 AH0 T AE2 K	2.36	0.223507417466161
flounce	floonce	F L AW1 N S	2.36	0.223507417466161
floundered	floondered	F L AW1 N D ER0 D	2.36	0.223507417466161
loudon	loodon	L AW1 D AH0 N	2.36	0.223507417466161
mccloud	mcclood	M AH0 K L AW1 D	2.36	0.223507417466161
outtakes	oottakes	AW1 T EY2 K S	2.36	0.223507417466161
browsers	broosers	B R AW1 Z ER0 Z	2.35	0.218540585966913
compounding	compoonding	K AH0 M P AW1 N D IH0 NG	2.35	0.218540585966913
counterweight	coonterweight	K AW1 N T ER0 W EY2 T	2.35	0.218540585966913
crowther	croother	K R AW1 DH ER0	2.35	0.218540585966913
endowments	endooments	EH0 N D AW1 M AH0 N T S	2.35	0.218540585966913
dowsing	doosing	D AW1 S IH0 NG	2.34	0.213573754467665
housekeepers	hoosekeepers	HH AW1 S K IY2 P ER0 Z	2.34	0.213573754467665
powerhouses	pooerhouses	P AW1 ER0 HH AW2 S AH0 Z	2.34	0.213573754467665
soundings	soondings	S AW1 N D IH0 NG Z	2.34	0.213573754467665
touts	toots	T AW1 T S	2.34	0.213573754467665
allowable	allooable	AH0 L AW1 AH0 B AH0 L	2.33	0.208606922968417
cowl	cool	K AW1 L	2.33	0.208606922968417
inbound	inboond	IH2 N B AW1 N D	2.33	0.208606922968417
newfound	newfoond	N UW1 F AW1 N D	2.33	0.208606922968417
rebounded	reboonded	R IY0 B AW1 N D AH0 D	2.33	0.208606922968417
vowing	vooing	V AW1 IH0 NG	2.33	0.208606922968417
boughton	booghton	B AW1 T AH0 N	2.32	0.203640091469169
gouging	googing	G AW1 JH IH0 NG	2.32	0.203640091469169
outperform	ootperform	AW1 T P ER0 F AO2 R M	2.32	0.203640091469169
proust	proost	P R AW1 S T	2.32	0.203640091469169
cloudless	cloodless	K L AW1 D L AH0 S	2.31	0.198673259969921
cowdrey	coodrey	K AW1 D R IY0	2.31	0.198673259969921
grouchy	groochy	G R AW1 CH IY0	2.31	0.198673259969921
groundnut	groondnut	G R AW1 N D N AH2 T	2.31	0.198673259969921
outperforming	ootperforming	AW1 T P ER0 F AO2 R M IH0 NG	2.31	0.198673259969921
housman	hoosman	HH AW1 S M AH0 N	2.3	0.193706428470673
outperformed	ootperformed	AW1 T P ER0 F AO2 R M D	2.3	0.193706428470673
powerboat	pooerboat	P AW1 ER0 B OW2 T	2.3	0.193706428470673
scrounge	scroonge	S K R AW1 N JH	2.3	0.193706428470673
abounds	aboonds	AH0 B AW1 N D Z	2.29	0.188739596971425
downplayed	doonplayed	D AW1 N P L EY2 D	2.29	0.188739596971425
ousting	oosting	AW1 S T IH0 NG	2.29	0.188739596971425
powis	poois	P AW1 IH2 S	2.29	0.188739596971425
southward	soothward	S AW1 TH W ER0 D	2.29	0.188739596971425
scouted	scooted	S K AW1 T AH0 D	2.28	0.183772765472177
couches	cooches	K AW1 CH AH0 Z	2.26	0.178805933972929
downe	doone	D AW1 N	2.26	0.178805933972929
flouted	flooted	F L AW1 T AH0 D	2.26	0.178805933972929
houseful	hooseful	HH AW1 S F AH0 L	2.26	0.178805933972929
mountjoy	moontjoy	M AW1 N T JH OY2	2.26	0.178805933972929
scours	scoors	S K AW1 ER0 Z	2.26	0.178805933972929
slouching	slooching	S L AW1 CH IH0 NG	2.26	0.178805933972929
townie	toonie	T AW1 N IY0	2.26	0.178805933972929
arousal	aroosal	ER0 AW1 Z AH0 L	2.25	0.173839102473681
downplay	doonplay	D AW1 N P L EY2	2.25	0.173839102473681
flounders	floonders	F L AW1 N D ER0 Z	2.25	0.173839102473681
loudmouth	loodmouth	L AW1 D M AW2 TH	2.25	0.173839102473681
prowse	proose	P R AW1 Z	2.25	0.173839102473681
scowl	scool	S K AW1 L	2.25	0.173839102473681
trounce	troonce	T R AW1 N S	2.25	0.173839102473681
bowery	booery	B AW1 ER0 IY0	2.24	0.168872270974433
downham	doonham	D AW1 N HH AH0 M	2.24	0.168872270974433
loudspeakers	loodspeakers	L AW1 D S P IY2 K ER0 Z	2.24	0.168872270974433
recounting	recoonting	R IH0 K AW1 N IH0 NG	2.24	0.168872270974433
redoubtable	redoobtable	R AH0 D AW1 T AH0 B AH0 L	2.24	0.168872270974433
counterfeits	coonterfeits	K AW1 N ER0 F IH2 T S	2.23	0.163905439475185
devours	devoors	D IH0 V AW1 ER0 Z	2.23	0.163905439475185
dousing	doosing	D AW1 S IH0 NG	2.23	0.163905439475185
downie	doonie	D AW1 N IY0	2.23	0.163905439475185
southam	sootham	S AW1 TH AH0 M	2.23	0.163905439475185
bounder	boonder	B AW1 N D ER0	2.21	0.158938607975937
cowman	cooman	K AW1 M AH0 N	2.21	0.158938607975937
espouse	espoose	AH0 S P AW1 S	2.21	0.158938607975937
outriders	ootriders	AW1 T R AY2 D ER0 Z	2.21	0.158938607975937
espoused	espoosed	AH0 S P AW1 S T	2.2	0.153971776476689
grouch	grooch	G R AW1 CH	2.2	0.153971776476689
mounties	moonties	M AW1 N IY0 Z	2.2	0.153971776476689
outermost	ootermost	AW1 T ER0 M OW2 S T	2.2	0.153971776476689
outpatient	ootpatient	AW1 T P EY2 SH AH0 N T	2.2	0.153971776476689
outsides	ootsides	AW1 T S AY1 D Z	2.2	0.153971776476689
couched	cooched	K AW1 CH T	2.19	0.149004944977441
counterculture	coonterculture	K AW1 N ER0 K AH2 L CH ER0	2.19	0.149004944977441
foundered	foondered	F AW1 N D ER0 D	2.19	0.149004944977441
outlast	ootlast	AW1 T L AE2 S T	2.19	0.149004944977441
confounding	confoonding	K AH0 N F AW1 N D IH0 NG	2.17	0.144038113478193
groundless	groondless	G R AW1 N D L AH0 S	2.17	0.144038113478193
kowtow	kootow	K AW1 T AW1	2.17	0.144038113478193
outflank	ootflank	AW1 T F L AE2 NG K	2.17	0.144038113478193
outpaced	ootpaced	AW1 T P EY2 S T	2.17	0.144038113478193
countertenor	coontertenor	K AW1 N T ER0 T EH2 N ER0	2.16	0.139071281978945
downgrades	doongrades	D AW1 N G R EY0 D Z	2.16	0.139071281978945
fowkes	fookes	F AW1 K S	2.16	0.139071281978945
outnumbering	ootnumbering	AW1 T N AH2 M B ER0 IH0 NG	2.16	0.139071281978945
flours	floors	F L AW1 ER0 Z	2.14	0.134104450479697
smouse	smoose	S M AW1 S	2.14	0.134104450479697
souter	sooter	S AW1 T ER0	2.14	0.134104450479697
cowgirls	coogirls	K AW1 G ER2 L Z	2.13	0.129137618980449
crowder	crooder	K R AW1 D ER0	2.13	0.129137618980449
downcast	dooncast	D AW1 N K AE2 S T	2.13	0.129137618980449
downturns	doonturns	D AW1 N T ER2 N Z	2.13	0.129137618980449
resoundingly	resoondingly	R AH0 Z AW1 N D IH0 NG L IY0	2.13	0.129137618980449
shrouds	shroods	SH R AW1 D Z	2.13	0.129137618980449
arouses	arooses	ER0 AW1 Z AH0 Z	2.11	0.124170787481201
astoundingly	astoondingly	AH0 S T AW1 N D IH0 NG L IY0	2.11	0.124170787481201
joubert	joobert	Y AW1 B ER0 T	2.11	0.124170787481201
outtake	oottake	AW1 T EY2 K	2.11	0.124170787481201
prowler	prooler	P R AW1 L ER0	2.11	0.124170787481201
rebounding	reboonding	R IY0 B AW1 N D IH0 NG	2.11	0.124170787481201
avowed	avooed	AH0 V AW1 D	2.09	0.119203955981953
counterfeited	coonterfeited	K AW1 N ER0 F IH2 T AH0 D	2.09	0.119203955981953
cowbell	coobell	K AW1 B EH2 L	2.09	0.119203955981953
cowper	cooper	K AW1 P ER0	2.09	0.119203955981953
drowsiness	droosiness	D R AW1 Z IY0 N AH0 S	2.09	0.119203955981953
macdowell	macdooell	M AH0 K D AW1 AH0 L	2.09	0.119203955981953
outpace	ootpace	AW1 T P EY2 S	2.09	0.119203955981953
outrages	ootrages	AW1 T R EY2 JH AH0 Z	2.09	0.119203955981953
southside	soothside	S AW1 TH S AY2 D	2.09	0.119203955981953
unbounded	unboonded	AH0 N B AW1 N D AH0 D	2.09	0.119203955981953
abounded	aboonded	AH0 B AW1 N D AH0 D	2.08	0.114237124482704
boucher	boocher	B AW1 CH ER0	2.08	0.114237124482704
cowling	cooling	K AW1 L IH0 NG	2.08	0.114237124482704
devoutly	devootly	D IH0 V AW1 T L IY0	2.08	0.114237124482704
howes	hooes	HH AW1 Z	2.08	0.114237124482704
impound	impoond	IH2 M P AW1 N D	2.08	0.114237124482704
mows	moos	M AW1 Z	2.08	0.114237124482704
outages	ootages	AW1 T IH0 JH AH0 Z	2.08	0.114237124482704
outsize	ootsize	AW1 T S AY2 Z	2.08	0.114237124482704
poulton	poolton	P AW1 L T AH0 N	2.08	0.114237124482704
prout	proot	P R AW1 T	2.08	0.114237124482704
redoubt	redoobt	R AH0 D AW1 T	2.08	0.114237124482704
resound	resoond	R IY2 S AW1 N D	2.08	0.114237124482704
sounder	soonder	S AW1 N D ER0	2.08	0.114237124482704
unwound	unwoond	AH0 N W AW1 N D	2.08	0.114237124482704
browsed	broosed	B R AW1 Z D	2.06	0.109270292983456
dower	dooer	D AW1 R	2.06	0.109270292983456
houseman	hooseman	HH AW1 S M AH0 N	2.06	0.109270292983456
lowrey	loorey	L AW1 R IY0	2.06	0.109270292983456
mispronounced	mispronoonced	M IH2 S P R AH0 N AW1 N S T	2.06	0.109270292983456
outputs	ootputs	AW1 T P UH2 T S	2.06	0.109270292983456
pounders	poonders	P AW1 N D ER0 Z	2.06	0.109270292983456
trousered	troosered	T R AW1 Z EH0 D	2.06	0.109270292983456
unbound	unboond	AH0 N B AW1 N D	2.06	0.109270292983456
dougall	doogall	D AW1 G AH0 L	2.04	0.104303461484208
kowtowing	kootowing	K AW2 T AW1 IH0 NG	2.04	0.104303461484208
pronouncement	pronooncement	P R AH0 N AW1 N S M AH0 N T	2.04	0.104303461484208
pronounces	pronoonces	P R AH0 N AW1 N S AH0 Z	2.04	0.104303461484208
rerouted	rerooted	R IY0 R AW1 T AH0 D	2.04	0.104303461484208
scowling	scooling	S K AW1 L IH0 NG	2.04	0.104303461484208
sours	soors	S AW1 ER0 Z	2.04	0.104303461484208
brownlie	broonlie	B R AW1 N L IY0	2.02	0.0993366299849604
counsels	coonsels	K AW1 N S AH0 L Z	2.02	0.0993366299849604
downers	dooners	D AW1 N ER0 Z	2.02	0.0993366299849604
downplaying	doonplaying	D AW1 N P L EY2 IH0 NG	2.02	0.0993366299849604
outbound	ootbound	AW1 T B AW2 N D	2.02	0.0993366299849604
rouch	rooch	R AW1 CH	2.02	0.0993366299849604
townley	toonley	T AW1 N L IY0	2.02	0.0993366299849604
croucher	croocher	K R AW1 CH ER0	2	0.0943697984857124
dowel	dooel	D AW1 AH0 L	2	0.0943697984857124
outsized	ootsized	AW1 T S AY2 Z D	2	0.0943697984857124
renouncing	renooncing	R IH2 N AW1 N S IH0 NG	2	0.0943697984857124
reroute	reroote	R IY0 R AW1 T	2	0.0943697984857124
roundy	roondy	R AW1 N D IY0	2	0.0943697984857124
souring	sooring	S AW1 ER0 IH0 NG	2	0.0943697984857124
announcers	annooncers	AH0 N AW1 N S ER0 Z	1.97	0.0894029669864644
carousing	caroosing	K ER0 AW1 Z IH0 NG	1.97	0.0894029669864644
counterterrorism	coonterterrorism	K AW1 N ER0 T EH2 R ER0 IH2 Z AH0 M	1.97	0.0894029669864644
dowding	dooding	D AW1 D IH0 NG	1.97	0.0894029669864644
outflow	ootflow	AW1 T F L OW2	1.97	0.0894029669864644
outlasted	ootlasted	AW1 T L AE2 S T AH0 D	1.97	0.0894029669864644
outlooks	ootlooks	AW1 T L UH2 K S	1.97	0.0894029669864644
powdering	poodering	P AW1 D ER0 IH0 NG	1.97	0.0894029669864644
underpowered	underpooered	AH0 N D ER0 P AW1 ER0 D	1.97	0.0894029669864644
chowdhury	choodhury	CH AW1 D HH Y UW0 R IY0	1.95	0.0844361354872164
confounds	confoonds	K AH0 N F AW1 N D Z	1.95	0.0844361354872164
cowslip	cooslip	K AW1 S L IH2 P	1.95	0.0844361354872164
dhows	dhoos	D AW1 Z	1.95	0.0844361354872164
drownings	droonings	D R AW1 N IH0 NG Z	1.95	0.0844361354872164
foust	foost	F AW1 S T	1.95	0.0844361354872164
jowly	jooly	JH AW1 L IY0	1.95	0.0844361354872164
mcdowall	mcdooall	M AH0 K D AW1 AH0 L	1.95	0.0844361354872164
outlawing	ootlawing	AW1 T L AO2 IH0 NG	1.95	0.0844361354872164
outwitting	ootwitting	AW1 T W IH2 T IH0 NG	1.95	0.0844361354872164
powerlessness	pooerlessness	P AW1 ER0 L AH0 S N AH0 S	1.95	0.0844361354872164
shrouding	shrooding	SH R AW1 D IH0 NG	1.95	0.0844361354872164
stoutly	stootly	S T AW1 T L IY0	1.95	0.0844361354872164
