standard.orth	phonetic.orth	standard.phones	zipf	fpmw
outdoor	ootdoor	AW1 T D AO2 R	3.95	8.88566155215471
bouncing	booncing	B AW1 N S AH0 N	3.93	8.44361354872164
counted	coonted	K AW1 N AH0 D	3.93	8.5230828527096
powell	pooell	P AW1 AH0 L	3.93	8.52804968420885
discount	discoont	D IH2 S K AW1 N T	3.92	8.34924375023592
louder	looder	L AW1 D ER0	3.92	8.31944276124044
routes	rootes	R AW1 T S	3.92	8.32937642423893
towers	tooers	T AW1 ER0 Z	3.92	8.23003979425397
ouch	ooch	AW1 CH	3.91	8.05620069178029
powered	pooered	P AW1 ER0 D	3.91	8.18533831076074
renowned	renooned	R AH0 N AW1 N D	3.91	8.11083583827202
boundary	boondary	B AW1 N D ER0 IY0	3.9	7.91712940980135
clown	cloon	K L AW1 N	3.9	7.91712940980135
profound	profoond	P R OW0 F AW1 N D	3.9	7.95686406179533
counties	coonties	K AW1 N IY0 Z	3.89	7.69362199233519
drought	drooght	D R AW1 T	3.88	7.61911951984646
bouncy	booncy	B AW1 N S IY0	3.87	7.37574477638331
households	hooseholds	HH AW1 S HH OW2 L D Z	3.87	7.46018091187053
towel	tooel	T AW1 AH0 L	3.87	7.34594378738782
downs	doons	D AW1 N Z	3.86	7.24660715740286
shouted	shooted	SH AW1 T AH0 D	3.86	7.18700517941189
outdoors	ootdoors	AW1 T D AO1 R Z	3.85	7.04296706593369
sounding	soonding	S AW1 N D AH0 N	3.84	6.86416113196077
crowned	crooned	K R AW1 N D	3.83	6.76482450197581
founder	foonder	F AW1 N D ER0	3.82	6.68038836648859
mounted	moonted	M AW1 N AH0 D	3.82	6.57608490500438
undoubtedly	undoobtedly	AH0 N D AW1 T AH0 D L IY0	3.82	6.65555420899235
accountability	accoontability	AH0 K AW1 N AH0 B IH2 L AH0 T IY0	3.81	6.41714629702844
outlook	ootlook	AW1 T L UH2 K	3.81	6.5164829270134
outskirts	ootskirts	AW1 T S K ER2 T S	3.8	6.2780750150495
compound	compoond	K AH0 M P AW1 N D	3.79	6.17873838506454
accountable	accoontable	AH0 K AW1 N AH0 B AH0 L	3.78	6.08436858657883
crowded	crooded	K R AW1 D AH0 D	3.78	5.97013146209612
surroundings	surroondings	S ER0 AW1 N D IH0 NG Z	3.78	5.96516463059687
mouths	mooths	M AW1 DH Z	3.77	5.91052948410515
output	ootput	AW1 T P UH2 T	3.77	5.82112651711868
coulson	coolson	K AW1 L S AH0 N	3.76	5.71185622413523
downhill	doonhill	D AW1 N HH IH0 L	3.76	5.80622602262094
scout	scoot	S K AW1 T	3.76	5.74662404462996
outbreak	ootbreak	AW1 T B R EY2 K	3.75	5.60755276265102
outs	oots	AW1 T S	3.75	5.56285127915778
